subcategory,word2,deca,mean,tf,df,df.n
property.market,amount,2015,0.002553191,3,2,0.001702128
sealing,cover,2015,0.002553191,3,3,0.002553191
amount,property.market,2015,0.002553191,3,2,0.001702128
cover,sealing,2015,0.002553191,3,3,0.002553191
pest.control,economy,2015,0.002553191,3,3,0.002553191
economy,pest.control,2015,0.002553191,3,3,0.002553191
inputs,contamination,2020,0.002233389,4,2,0.001116695
contamination,inputs,2020,0.002233389,4,2,0.001116695
property.market,characteristic,2020,0.002233389,4,3,0.001675042
property.market,degradation,2020,0.002233389,4,1,0.000558347
characteristic,property.market,2020,0.002233389,4,3,0.001675042
degradation,property.market,2020,0.002233389,4,1,0.000558347
invasion,classification,2020,0.002233389,4,3,0.001675042
classification,invasion,2020,0.002233389,4,3,0.001675042
policy,invasion,2020,0.002233389,4,3,0.001675042
invasion,policy,2020,0.002233389,4,3,0.001675042
human,amount,2020,0.002233389,4,4,0.002233389
amount,human,2020,0.002233389,4,4,0.002233389
stability,location,2020,0.002233389,4,2,0.001116695
location,stability,2020,0.002233389,4,2,0.001116695
diversity,deforestation,2020,0.002233389,4,3,0.001675042
deforestation,diversity,2020,0.002233389,4,3,0.001675042
deposition,acidification,2020,0.002233389,4,3,0.001675042
economy,degradation,2020,0.002233389,4,3,0.001675042
acidification,deposition,2020,0.002233389,4,3,0.001675042
degradation,economy,2020,0.002233389,4,3,0.001675042
human,decomposition,2020,0.002233389,4,4,0.002233389
decomposition,human,2020,0.002233389,4,4,0.002233389
sealing,degradation,2020,0.002233389,4,4,0.002233389
sealing,deposition,2020,0.002233389,4,1,0.000558347
degradation,sealing,2020,0.002233389,4,4,0.002233389
deposition,sealing,2020,0.002233389,4,1,0.000558347
decomposition,acidification,2020,0.002233389,4,2,0.001116695
acidification,decomposition,2020,0.002233389,4,2,0.001116695
inputs,deposition,2020,0.002233389,4,4,0.002233389
deposition,inputs,2020,0.002233389,4,4,0.002233389
pest.control,inputs,2020,0.002233389,4,2,0.001116695
inputs,pest.control,2020,0.002233389,4,2,0.001116695
deforestation,compaction,2010,0.001855288,1,1,0.001855288
location,contamination,2010,0.001855288,1,1,0.001855288
sealing,cover,2010,0.001855288,1,1,0.001855288
compaction,deforestation,2010,0.001855288,1,1,0.001855288
relocation,deforestation,2010,0.001855288,1,1,0.001855288
economy,degradation,2010,0.001855288,1,1,0.001855288
degradation,economy,2010,0.001855288,1,1,0.001855288
sealing,economy,2010,0.001855288,1,1,0.001855288
sealing,habitat,2010,0.001855288,1,1,0.001855288
contamination,location,2010,0.001855288,1,1,0.001855288
deforestation,relocation,2010,0.001855288,1,1,0.001855288
sealing,relocation,2010,0.001855288,1,1,0.001855288
sealing,research,2010,0.001855288,1,1,0.001855288
cover,sealing,2010,0.001855288,1,1,0.001855288
economy,sealing,2010,0.001855288,1,1,0.001855288
habitat,sealing,2010,0.001855288,1,1,0.001855288
relocation,sealing,2010,0.001855288,1,1,0.001855288
research,sealing,2010,0.001855288,1,1,0.001855288
succession,sealing,2010,0.001855288,1,1,0.001855288
sealing,succession,2010,0.001855288,1,1,0.001855288
economy,belowground,2010,0.001855288,1,1,0.001855288
belowground,economy,2010,0.001855288,1,1,0.001855288
human,economy,2010,0.001855288,1,1,0.001855288
salinization,economy,2010,0.001855288,1,1,0.001855288
economy,human,2010,0.001855288,1,1,0.001855288
relocation,human,2010,0.001855288,1,1,0.001855288
salinization,landuse,2010,0.001855288,1,1,0.001855288
salinization,location,2010,0.001855288,1,1,0.001855288
human,relocation,2010,0.001855288,1,1,0.001855288
economy,salinization,2010,0.001855288,1,1,0.001855288
landuse,salinization,2010,0.001855288,1,1,0.001855288
location,salinization,2010,0.001855288,1,1,0.001855288
deforestation,decomposition,2010,0.001855288,1,1,0.001855288
decomposition,deforestation,2010,0.001855288,1,1,0.001855288
sealing,amount,2010,0.001855288,1,1,0.001855288
degradation,belowground,2010,0.001855288,1,1,0.001855288
salinization,compaction,2010,0.001855288,1,1,0.001855288
inputs,decomposition,2010,0.001855288,1,1,0.001855288
sealing,decomposition,2010,0.001855288,1,1,0.001855288
belowground,degradation,2010,0.001855288,1,1,0.001855288
salinization,diversity,2010,0.001855288,1,1,0.001855288
inputs,filtration,2010,0.001855288,1,1,0.001855288
decomposition,inputs,2010,0.001855288,1,1,0.001855288
filtration,inputs,2010,0.001855288,1,1,0.001855288
succession,inputs,2010,0.001855288,1,1,0.001855288
compaction,salinization,2010,0.001855288,1,1,0.001855288
diversity,salinization,2010,0.001855288,1,1,0.001855288
amount,sealing,2010,0.001855288,1,1,0.001855288
decomposition,sealing,2010,0.001855288,1,1,0.001855288
inputs,succession,2010,0.001855288,1,1,0.001855288
stability,characteristic,2010,0.001855288,1,1,0.001855288
stability,climate,2010,0.001855288,1,1,0.001855288
stability,diversity,2010,0.001855288,1,1,0.001855288
characteristic,stability,2010,0.001855288,1,1,0.001855288
climate,stability,2010,0.001855288,1,1,0.001855288
diversity,stability,2010,0.001855288,1,1,0.001855288
succession,stability,2010,0.001855288,1,1,0.001855288
stability,succession,2010,0.001855288,1,1,0.001855288
cover,acidification,2010,0.001855288,1,1,0.001855288
diversity,acidification,2010,0.001855288,1,1,0.001855288
succession,acidification,2010,0.001855288,1,1,0.001855288
acidification,cover,2010,0.001855288,1,1,0.001855288
acidification,diversity,2010,0.001855288,1,1,0.001855288
acidification,succession,2010,0.001855288,1,1,0.001855288
compaction,acidification,2010,0.001855288,1,1,0.001855288
deposition,acidification,2010,0.001855288,1,1,0.001855288
inputs,acidification,2010,0.001855288,1,1,0.001855288
acidification,compaction,2010,0.001855288,1,1,0.001855288
acidification,deposition,2010,0.001855288,1,1,0.001855288
acidification,inputs,2010,0.001855288,1,1,0.001855288
property.market,amount,2010,0.001855288,1,1,0.001855288
property.market,global.cycles,2010,0.001855288,1,1,0.001855288
property.market,human,2010,0.001855288,1,1,0.001855288
property.market,policy,2010,0.001855288,1,1,0.001855288
amount,property.market,2010,0.001855288,1,1,0.001855288
global.cycles,property.market,2010,0.001855288,1,1,0.001855288
human,property.market,2010,0.001855288,1,1,0.001855288
policy,property.market,2010,0.001855288,1,1,0.001855288
decomposition,acidification,2010,0.001855288,1,1,0.001855288
property.market,agriculture,2010,0.001855288,1,1,0.001855288
acidification,decomposition,2010,0.001855288,1,1,0.001855288
property.market,filtration,2010,0.001855288,1,1,0.001855288
property.market,habitat,2010,0.001855288,1,1,0.001855288
agriculture,property.market,2010,0.001855288,1,1,0.001855288
filtration,property.market,2010,0.001855288,1,1,0.001855288
habitat,property.market,2010,0.001855288,1,1,0.001855288
stability,economy,2010,0.001855288,1,1,0.001855288
stability,relocation,2010,0.001855288,1,1,0.001855288
economy,stability,2010,0.001855288,1,1,0.001855288
relocation,stability,2010,0.001855288,1,1,0.001855288
relocation,property.market,2010,0.001855288,1,1,0.001855288
property.market,relocation,2010,0.001855288,1,1,0.001855288
stability,inputs,2010,0.001855288,1,1,0.001855288
inputs,stability,2010,0.001855288,1,1,0.001855288
pest.control,disturbance,2010,0.001855288,1,1,0.001855288
pest.control,environment,2010,0.001855288,1,1,0.001855288
pest.control,managing,2010,0.001855288,1,1,0.001855288
disturbance,pest.control,2010,0.001855288,1,1,0.001855288
environment,pest.control,2010,0.001855288,1,1,0.001855288
managing,pest.control,2010,0.001855288,1,1,0.001855288
invasion,classification,2010,0.001855288,1,1,0.001855288
invasion,cover,2010,0.001855288,1,1,0.001855288
classification,invasion,2010,0.001855288,1,1,0.001855288
cover,invasion,2010,0.001855288,1,1,0.001855288
deforestation,belowground,2015,0.001702128,2,1,0.000851064
belowground,deforestation,2015,0.001702128,2,1,0.000851064
relocation,deforestation,2015,0.001702128,2,2,0.001702128
deforestation,relocation,2015,0.001702128,2,2,0.001702128
inputs,belowground,2015,0.001702128,2,2,0.001702128
belowground,inputs,2015,0.001702128,2,2,0.001702128
economy,decomposition,2015,0.001702128,2,2,0.001702128
economy,deforestation,2015,0.001702128,2,1,0.000851064
human,deforestation,2015,0.001702128,2,2,0.001702128
decomposition,economy,2015,0.001702128,2,2,0.001702128
deforestation,economy,2015,0.001702128,2,1,0.000851064
deforestation,human,2015,0.001702128,2,2,0.001702128
property.market,characteristic,2015,0.001702128,2,2,0.001702128
property.market,climate,2015,0.001702128,2,2,0.001702128
property.market,diversity,2015,0.001702128,2,1,0.000851064
property.market,phy.property,2015,0.001702128,2,1,0.000851064
characteristic,property.market,2015,0.001702128,2,2,0.001702128
climate,property.market,2015,0.001702128,2,2,0.001702128
diversity,property.market,2015,0.001702128,2,1,0.000851064
phy.property,property.market,2015,0.001702128,2,1,0.000851064
soil,property.market,2015,0.001702128,2,1,0.000851064
property.market,soil,2015,0.001702128,2,1,0.000851064
habitat,acidification,2015,0.001702128,2,1,0.000851064
invasion,characteristic,2015,0.001702128,2,1,0.000851064
deforestation,compaction,2015,0.001702128,2,2,0.001702128
compaction,deforestation,2015,0.001702128,2,2,0.001702128
invasion,degradation,2015,0.001702128,2,1,0.000851064
acidification,habitat,2015,0.001702128,2,1,0.000851064
characteristic,invasion,2015,0.001702128,2,1,0.000851064
degradation,invasion,2015,0.001702128,2,1,0.000851064
location,invasion,2015,0.001702128,2,1,0.000851064
invasion,location,2015,0.001702128,2,1,0.000851064
stability,cover,2015,0.001702128,2,2,0.001702128
cover,stability,2015,0.001702128,2,2,0.001702128
stability,amount,2015,0.001702128,2,2,0.001702128
amount,stability,2015,0.001702128,2,2,0.001702128
inputs,amount,2015,0.001702128,2,2,0.001702128
amount,inputs,2015,0.001702128,2,2,0.001702128
phy.property,pest.control,2015,0.001702128,2,2,0.001702128
pest.control,phy.property,2015,0.001702128,2,2,0.001702128
property.market,economy,2015,0.001702128,2,1,0.000851064
economy,property.market,2015,0.001702128,2,1,0.000851064
stability,human,2015,0.001702128,2,1,0.000851064
human,stability,2015,0.001702128,2,1,0.000851064
sealing,filtration,2015,0.001702128,2,2,0.001702128
sealing,research,2015,0.001702128,2,2,0.001702128
filtration,sealing,2015,0.001702128,2,2,0.001702128
research,sealing,2015,0.001702128,2,2,0.001702128
salinization,landuse,2015,0.001702128,2,2,0.001702128
landuse,salinization,2015,0.001702128,2,2,0.001702128
stability,decomposition,2015,0.001702128,2,2,0.001702128
decomposition,stability,2015,0.001702128,2,2,0.001702128
salinization,compaction,2015,0.001702128,2,1,0.000851064
compaction,salinization,2015,0.001702128,2,1,0.000851064
sealing,decomposition,2015,0.001702128,2,1,0.000851064
sealing,degradation,2015,0.001702128,2,1,0.000851064
decomposition,sealing,2015,0.001702128,2,1,0.000851064
degradation,sealing,2015,0.001702128,2,1,0.000851064
salinization,inputs,2015,0.001702128,2,2,0.001702128
inputs,salinization,2015,0.001702128,2,2,0.001702128
inputs,amount,2020,0.001675042,3,3,0.001675042
succession,compaction,2020,0.001675042,3,3,0.001675042
amount,inputs,2020,0.001675042,3,3,0.001675042
compaction,succession,2020,0.001675042,3,3,0.001675042
property.market,location,2020,0.001675042,3,1,0.000558347
location,property.market,2020,0.001675042,3,1,0.000558347
research,property.market,2020,0.001675042,3,3,0.001675042
soil,property.market,2020,0.001675042,3,1,0.000558347
property.market,research,2020,0.001675042,3,3,0.001675042
property.market,soil,2020,0.001675042,3,1,0.000558347
invasion,characteristic,2020,0.001675042,3,2,0.001116695
characteristic,invasion,2020,0.001675042,3,2,0.001116695
succession,invasion,2020,0.001675042,3,2,0.001116695
invasion,succession,2020,0.001675042,3,2,0.001116695
property.market,filtration,2020,0.001675042,3,2,0.001116695
property.market,landuse,2020,0.001675042,3,2,0.001116695
filtration,property.market,2020,0.001675042,3,2,0.001116695
landuse,property.market,2020,0.001675042,3,2,0.001116695
stability,cover,2020,0.001675042,3,3,0.001675042
cover,stability,2020,0.001675042,3,3,0.001675042
acidification,aboveground,2020,0.001675042,3,2,0.001116695
aboveground,acidification,2020,0.001675042,3,2,0.001116695
human,acidification,2020,0.001675042,3,3,0.001675042
policy,acidification,2020,0.001675042,3,3,0.001675042
acidification,human,2020,0.001675042,3,3,0.001675042
acidification,policy,2020,0.001675042,3,3,0.001675042
deforestation,compaction,2020,0.001675042,3,2,0.001116695
compaction,deforestation,2020,0.001675042,3,2,0.001116695
relocation,deforestation,2020,0.001675042,3,3,0.001675042
deforestation,relocation,2020,0.001675042,3,3,0.001675042
inputs,economy,2020,0.001675042,3,3,0.001675042
economy,inputs,2020,0.001675042,3,3,0.001675042
succession,salinization,2020,0.001675042,3,3,0.001675042
salinization,succession,2020,0.001675042,3,3,0.001675042
sealing,chem.property,2020,0.001675042,3,2,0.001116695
sealing,climate,2020,0.001675042,3,2,0.001116695
chem.property,sealing,2020,0.001675042,3,2,0.001116695
climate,sealing,2020,0.001675042,3,2,0.001116695
sealing,economy,2020,0.001675042,3,2,0.001116695
economy,sealing,2020,0.001675042,3,2,0.001116695
salinization,amount,2020,0.001675042,3,2,0.001116695
amount,salinization,2020,0.001675042,3,2,0.001116695
salinization,relocation,2020,0.001675042,3,3,0.001675042
relocation,salinization,2020,0.001675042,3,3,0.001675042
pest.control,landuse,2020,0.001675042,3,2,0.001116695
landuse,pest.control,2020,0.001675042,3,2,0.001116695
inputs,belowground,2020,0.001116695,2,2,0.001116695
belowground,inputs,2020,0.001116695,2,2,0.001116695
location,inputs,2020,0.001116695,2,2,0.001116695
inputs,location,2020,0.001116695,2,2,0.001116695
property.market,classification,2020,0.001116695,2,2,0.001116695
classification,property.market,2020,0.001116695,2,2,0.001116695
invasion,amount,2020,0.001116695,2,2,0.001116695
invasion,filtration,2020,0.001116695,2,1,0.000558347
amount,invasion,2020,0.001116695,2,2,0.001116695
filtration,invasion,2020,0.001116695,2,1,0.000558347
phy.property,invasion,2020,0.001116695,2,2,0.001116695
invasion,phy.property,2020,0.001116695,2,2,0.001116695
inputs,decomposition,2020,0.001116695,2,1,0.000558347
decomposition,inputs,2020,0.001116695,2,1,0.000558347
relocation,inputs,2020,0.001116695,2,2,0.001116695
inputs,relocation,2020,0.001116695,2,2,0.001116695
property.market,climate,2020,0.001116695,2,2,0.001116695
property.market,disturbance,2020,0.001116695,2,2,0.001116695
climate,property.market,2020,0.001116695,2,2,0.001116695
disturbance,property.market,2020,0.001116695,2,2,0.001116695
stability,amount,2020,0.001116695,2,2,0.001116695
stability,belowground,2020,0.001116695,2,1,0.000558347
stability,diversity,2020,0.001116695,2,2,0.001116695
amount,stability,2020,0.001116695,2,2,0.001116695
belowground,stability,2020,0.001116695,2,1,0.000558347
diversity,stability,2020,0.001116695,2,2,0.001116695
location,invasion,2020,0.001116695,2,1,0.000558347
relocation,invasion,2020,0.001116695,2,2,0.001116695
invasion,location,2020,0.001116695,2,1,0.000558347
invasion,relocation,2020,0.001116695,2,2,0.001116695
filtration,deforestation,2020,0.001116695,2,2,0.001116695
deforestation,filtration,2020,0.001116695,2,2,0.001116695
agriculture,acidification,2020,0.001116695,2,1,0.000558347
acidification,agriculture,2020,0.001116695,2,1,0.000558347
deposition,deforestation,2020,0.001116695,2,2,0.001116695
deforestation,deposition,2020,0.001116695,2,2,0.001116695
human,economy,2020,0.001116695,2,2,0.001116695
economy,human,2020,0.001116695,2,2,0.001116695
human,deforestation,2020,0.001116695,2,2,0.001116695
deforestation,human,2020,0.001116695,2,2,0.001116695
sealing,decomposition,2020,0.001116695,2,2,0.001116695
decomposition,sealing,2020,0.001116695,2,2,0.001116695
salinization,economy,2020,0.001116695,2,1,0.000558347
economy,salinization,2020,0.001116695,2,1,0.000558347
stability,sealing,2020,0.001116695,2,2,0.001116695
sealing,stability,2020,0.001116695,2,2,0.001116695
salinization,contamination,2020,0.001116695,2,1,0.000558347
contamination,salinization,2020,0.001116695,2,1,0.000558347
pest.control,aboveground,2020,0.001116695,2,1,0.000558347
pest.control,agriculture,2020,0.001116695,2,1,0.000558347
pest.control,economy,2020,0.001116695,2,1,0.000558347
pest.control,erosion,2020,0.001116695,2,2,0.001116695
aboveground,pest.control,2020,0.001116695,2,1,0.000558347
agriculture,pest.control,2020,0.001116695,2,1,0.000558347
economy,pest.control,2020,0.001116695,2,1,0.000558347
erosion,pest.control,2020,0.001116695,2,2,0.001116695
soil,pest.control,2020,0.001116695,2,1,0.000558347
pest.control,soil,2020,0.001116695,2,1,0.000558347
salinization,deforestation,2020,0.001116695,2,1,0.000558347
deforestation,salinization,2020,0.001116695,2,1,0.000558347
deforestation,amount,2015,0.000851064,1,1,0.000851064
deforestation,cover,2015,0.000851064,1,1,0.000851064
amount,deforestation,2015,0.000851064,1,1,0.000851064
cover,deforestation,2015,0.000851064,1,1,0.000851064
diversity,deforestation,2015,0.000851064,1,1,0.000851064
filtration,deforestation,2015,0.000851064,1,1,0.000851064
research,deforestation,2015,0.000851064,1,1,0.000851064
deforestation,diversity,2015,0.000851064,1,1,0.000851064
deforestation,filtration,2015,0.000851064,1,1,0.000851064
deforestation,research,2015,0.000851064,1,1,0.000851064
inputs,filtration,2015,0.000851064,1,1,0.000851064
filtration,inputs,2015,0.000851064,1,1,0.000851064
inputs,contamination,2015,0.000851064,1,1,0.000851064
contamination,inputs,2015,0.000851064,1,1,0.000851064
property.market,disturbance,2015,0.000851064,1,1,0.000851064
disturbance,property.market,2015,0.000851064,1,1,0.000851064
degradation,acidification,2015,0.000851064,1,1,0.000851064
diversity,acidification,2015,0.000851064,1,1,0.000851064
acidification,degradation,2015,0.000851064,1,1,0.000851064
acidification,diversity,2015,0.000851064,1,1,0.000851064
invasion,erosion,2015,0.000851064,1,1,0.000851064
invasion,global.cycles,2015,0.000851064,1,1,0.000851064
erosion,invasion,2015,0.000851064,1,1,0.000851064
global.cycles,invasion,2015,0.000851064,1,1,0.000851064
soil,invasion,2015,0.000851064,1,1,0.000851064
invasion,soil,2015,0.000851064,1,1,0.000851064
stability,contamination,2015,0.000851064,1,1,0.000851064
stability,diversity,2015,0.000851064,1,1,0.000851064
contamination,stability,2015,0.000851064,1,1,0.000851064
diversity,stability,2015,0.000851064,1,1,0.000851064
stability,location,2015,0.000851064,1,1,0.000851064
location,stability,2015,0.000851064,1,1,0.000851064
pest.control,classification,2015,0.000851064,1,1,0.000851064
pest.control,disturbance,2015,0.000851064,1,1,0.000851064
pest.control,environment,2015,0.000851064,1,1,0.000851064
pest.control,landuse,2015,0.000851064,1,1,0.000851064
classification,pest.control,2015,0.000851064,1,1,0.000851064
disturbance,pest.control,2015,0.000851064,1,1,0.000851064
environment,pest.control,2015,0.000851064,1,1,0.000851064
landuse,pest.control,2015,0.000851064,1,1,0.000851064
research,pest.control,2015,0.000851064,1,1,0.000851064
pest.control,research,2015,0.000851064,1,1,0.000851064
relocation,property.market,2015,0.000851064,1,1,0.000851064
property.market,relocation,2015,0.000851064,1,1,0.000851064
stability,economy,2015,0.000851064,1,1,0.000851064
stability,landuse,2015,0.000851064,1,1,0.000851064
economy,stability,2015,0.000851064,1,1,0.000851064
landuse,stability,2015,0.000851064,1,1,0.000851064
inputs,decomposition,2015,0.000851064,1,1,0.000851064
inputs,deposition,2015,0.000851064,1,1,0.000851064
decomposition,inputs,2015,0.000851064,1,1,0.000851064
deposition,inputs,2015,0.000851064,1,1,0.000851064
salinization,human,2015,0.000851064,1,1,0.000851064
human,salinization,2015,0.000851064,1,1,0.000851064
sealing,inputs,2015,0.000851064,1,1,0.000851064
inputs,sealing,2015,0.000851064,1,1,0.000851064
stability,degradation,2015,0.000851064,1,1,0.000851064
degradation,stability,2015,0.000851064,1,1,0.000851064
agriculture,acidification,2015,0.000851064,1,1,0.000851064
acidification,agriculture,2015,0.000851064,1,1,0.000851064
stability,deposition,2015,0.000851064,1,1,0.000851064
deposition,stability,2015,0.000851064,1,1,0.000851064
stability,deforestation,2015,0.000851064,1,1,0.000851064
deforestation,stability,2015,0.000851064,1,1,0.000851064
stability,inputs,2015,0.000851064,1,1,0.000851064
inputs,stability,2015,0.000851064,1,1,0.000851064
pest.control,characteristic,2015,0.000851064,1,1,0.000851064
pest.control,chem.property,2015,0.000851064,1,1,0.000851064
characteristic,pest.control,2015,0.000851064,1,1,0.000851064
chem.property,pest.control,2015,0.000851064,1,1,0.000851064
location,contamination,2020,0.000558347,1,1,0.000558347
contamination,location,2020,0.000558347,1,1,0.000558347
property.market,decomposition,2020,0.000558347,1,1,0.000558347
decomposition,property.market,2020,0.000558347,1,1,0.000558347
succession,property.market,2020,0.000558347,1,1,0.000558347
property.market,succession,2020,0.000558347,1,1,0.000558347
invasion,climate,2020,0.000558347,1,1,0.000558347
invasion,compaction,2020,0.000558347,1,1,0.000558347
invasion,diversity,2020,0.000558347,1,1,0.000558347
climate,invasion,2020,0.000558347,1,1,0.000558347
compaction,invasion,2020,0.000558347,1,1,0.000558347
diversity,invasion,2020,0.000558347,1,1,0.000558347
stability,contamination,2020,0.000558347,1,1,0.000558347
stability,relocation,2020,0.000558347,1,1,0.000558347
contamination,stability,2020,0.000558347,1,1,0.000558347
relocation,stability,2020,0.000558347,1,1,0.000558347
invasion,deposition,2020,0.000558347,1,1,0.000558347
stability,deposition,2020,0.000558347,1,1,0.000558347
deposition,invasion,2020,0.000558347,1,1,0.000558347
deposition,stability,2020,0.000558347,1,1,0.000558347
compaction,acidification,2020,0.000558347,1,1,0.000558347
economy,acidification,2020,0.000558347,1,1,0.000558347
deforestation,belowground,2020,0.000558347,1,1,0.000558347
acidification,compaction,2020,0.000558347,1,1,0.000558347
belowground,deforestation,2020,0.000558347,1,1,0.000558347
research,deforestation,2020,0.000558347,1,1,0.000558347
acidification,economy,2020,0.000558347,1,1,0.000558347
deforestation,research,2020,0.000558347,1,1,0.000558347
landuse,invasion,2020,0.000558347,1,1,0.000558347
invasion,landuse,2020,0.000558347,1,1,0.000558347
salinization,decomposition,2020,0.000558347,1,1,0.000558347
salinization,global.cycles,2020,0.000558347,1,1,0.000558347
decomposition,salinization,2020,0.000558347,1,1,0.000558347
global.cycles,salinization,2020,0.000558347,1,1,0.000558347
sealing,amount,2020,0.000558347,1,1,0.000558347
sealing,habitat,2020,0.000558347,1,1,0.000558347
amount,sealing,2020,0.000558347,1,1,0.000558347
habitat,sealing,2020,0.000558347,1,1,0.000558347
sealing,belowground,2020,0.000558347,1,1,0.000558347
belowground,sealing,2020,0.000558347,1,1,0.000558347
property.market,chem.property,2020,0.000558347,1,1,0.000558347
salinization,compaction,2020,0.000558347,1,1,0.000558347
property.market,diversity,2020,0.000558347,1,1,0.000558347
chem.property,property.market,2020,0.000558347,1,1,0.000558347
diversity,property.market,2020,0.000558347,1,1,0.000558347
compaction,salinization,2020,0.000558347,1,1,0.000558347
property.market,contamination,2020,0.000558347,1,1,0.000558347
contamination,property.market,2020,0.000558347,1,1,0.000558347
sealing,deforestation,2020,0.000558347,1,1,0.000558347
deforestation,sealing,2020,0.000558347,1,1,0.000558347
pest.control,characteristic,2020,0.000558347,1,1,0.000558347
pest.control,climate,2020,0.000558347,1,1,0.000558347
pest.control,compaction,2020,0.000558347,1,1,0.000558347
pest.control,degradation,2020,0.000558347,1,1,0.000558347
pest.control,disturbance,2020,0.000558347,1,1,0.000558347
characteristic,pest.control,2020,0.000558347,1,1,0.000558347
climate,pest.control,2020,0.000558347,1,1,0.000558347
compaction,pest.control,2020,0.000558347,1,1,0.000558347
degradation,pest.control,2020,0.000558347,1,1,0.000558347
disturbance,pest.control,2020,0.000558347,1,1,0.000558347
sealing,aboveground,2010,0,0,0,0
sealing,chem.property,2010,0,0,0,0
sealing,climate,2010,0,0,0,0
deforestation,contamination,2010,0,0,0,0
economy,contamination,2010,0,0,0,0
succession,contamination,2010,0,0,0,0
deforestation,cover,2010,0,0,0,0
contamination,deforestation,2010,0,0,0,0
cover,deforestation,2010,0,0,0,0
diversity,deforestation,2010,0,0,0,0
filtration,deforestation,2010,0,0,0,0
global.cycles,deforestation,2010,0,0,0,0
sealing,deforestation,2010,0,0,0,0
sealing,degradation,2010,0,0,0,0
deforestation,diversity,2010,0,0,0,0
sealing,diversity,2010,0,0,0,0
contamination,economy,2010,0,0,0,0
deforestation,filtration,2010,0,0,0,0
sealing,filtration,2010,0,0,0,0
deforestation,global.cycles,2010,0,0,0,0
sealing,global.cycles,2010,0,0,0,0
sealing,location,2010,0,0,0,0
aboveground,sealing,2010,0,0,0,0
chem.property,sealing,2010,0,0,0,0
climate,sealing,2010,0,0,0,0
deforestation,sealing,2010,0,0,0,0
degradation,sealing,2010,0,0,0,0
diversity,sealing,2010,0,0,0,0
filtration,sealing,2010,0,0,0,0
global.cycles,sealing,2010,0,0,0,0
location,sealing,2010,0,0,0,0
contamination,succession,2010,0,0,0,0
salinization,amount,2010,0,0,0,0
economy,decomposition,2010,0,0,0,0
salinization,decomposition,2010,0,0,0,0
decomposition,economy,2010,0,0,0,0
salinization,human,2010,0,0,0,0
amount,salinization,2010,0,0,0,0
decomposition,salinization,2010,0,0,0,0
human,salinization,2010,0,0,0,0
inputs,belowground,2010,0,0,0,0
sealing,belowground,2010,0,0,0,0
inputs,contamination,2010,0,0,0,0
salinization,contamination,2010,0,0,0,0
inputs,cover,2010,0,0,0,0
salinization,degradation,2010,0,0,0,0
salinization,deposition,2010,0,0,0,0
salinization,disturbance,2010,0,0,0,0
inputs,diversity,2010,0,0,0,0
inputs,habitat,2010,0,0,0,0
belowground,inputs,2010,0,0,0,0
contamination,inputs,2010,0,0,0,0
cover,inputs,2010,0,0,0,0
diversity,inputs,2010,0,0,0,0
habitat,inputs,2010,0,0,0,0
location,inputs,2010,0,0,0,0
relocation,inputs,2010,0,0,0,0
salinization,inputs,2010,0,0,0,0
sealing,inputs,2010,0,0,0,0
inputs,location,2010,0,0,0,0
inputs,relocation,2010,0,0,0,0
contamination,salinization,2010,0,0,0,0
degradation,salinization,2010,0,0,0,0
deposition,salinization,2010,0,0,0,0
disturbance,salinization,2010,0,0,0,0
inputs,salinization,2010,0,0,0,0
sealing,salinization,2010,0,0,0,0
belowground,sealing,2010,0,0,0,0
inputs,sealing,2010,0,0,0,0
salinization,sealing,2010,0,0,0,0
inputs,human,2010,0,0,0,0
human,inputs,2010,0,0,0,0
stability,contamination,2010,0,0,0,0
stability,cover,2010,0,0,0,0
stability,decomposition,2010,0,0,0,0
contamination,stability,2010,0,0,0,0
cover,stability,2010,0,0,0,0
decomposition,stability,2010,0,0,0,0
stability,compaction,2010,0,0,0,0
stability,global.cycles,2010,0,0,0,0
compaction,stability,2010,0,0,0,0
global.cycles,stability,2010,0,0,0,0
acidification,aboveground,2010,0,0,0,0
aboveground,acidification,2010,0,0,0,0
climate,acidification,2010,0,0,0,0
policy,acidification,2010,0,0,0,0
relocation,acidification,2010,0,0,0,0
soil,acidification,2010,0,0,0,0
acidification,climate,2010,0,0,0,0
acidification,policy,2010,0,0,0,0
acidification,relocation,2010,0,0,0,0
acidification,soil,2010,0,0,0,0
amount,acidification,2010,0,0,0,0
economy,acidification,2010,0,0,0,0
landuse,acidification,2010,0,0,0,0
acidification,amount,2010,0,0,0,0
acidification,economy,2010,0,0,0,0
acidification,landuse,2010,0,0,0,0
property.market,aboveground,2010,0,0,0,0
aboveground,property.market,2010,0,0,0,0
soil,property.market,2010,0,0,0,0
property.market,soil,2010,0,0,0,0
degradation,acidification,2010,0,0,0,0
property.market,acidification,2010,0,0,0,0
property.market,chem.property,2010,0,0,0,0
property.market,compaction,2010,0,0,0,0
property.market,contamination,2010,0,0,0,0
property.market,decomposition,2010,0,0,0,0
acidification,degradation,2010,0,0,0,0
property.market,deposition,2010,0,0,0,0
property.market,diversity,2010,0,0,0,0
property.market,erosion,2010,0,0,0,0
property.market,inputs,2010,0,0,0,0
property.market,phy.property,2010,0,0,0,0
acidification,property.market,2010,0,0,0,0
chem.property,property.market,2010,0,0,0,0
compaction,property.market,2010,0,0,0,0
contamination,property.market,2010,0,0,0,0
decomposition,property.market,2010,0,0,0,0
